2        	1.390	2059633	0.003	0.002	0.003	0.017	0.002	0.000
10       	5.840	1847803	0.038	0.008	0.013	0.004	0.007	0.000
20       	7.010	1684816	0.053	0.010	0.016	0.008	0.009	0.000
30       	8.655	1558705	0.056	0.008	0.014	0.003	0.008	0.000
40       	10.189	1450975	0.101	0.013	0.024	0.004	0.013	0.000
50       	10.698	1351998	0.098	0.012	0.021	0.004	0.011	0.000
60       	11.040	1269555	0.087	0.010	0.018	0.003	0.009	0.000
70       	13.847	1229040	0.090	0.010	0.018	0.002	0.009	0.000
80       	15.196	1204649	0.089	0.009	0.017	0.002	0.009	0.000
90       	16.405	1181863	0.090	0.009	0.017	0.001	0.008	0.000
100      	18.530	1165925	0.092	0.009	0.016	0.001	0.008	0.000
